maintenance_id,turbine_id,maintenance_date,maintenance_type,duration_hs,cost_usd,year,category
M_T001_2023_0,T001,2023-07-02,Corrective,9.87,-200.0,2023,Shutdown due to overtemperature
M_T001_2023_1,T001,2023-07-25,Preventive,0.0,649.57,2023,
M_T001_2023_3,T001,2023-05-10,Preventive,3.32,297.41,2023,
M_T001_2023_4,BAD999,2023-03-20,Corrective,7.41,3097.38,2023,Blade leading edge erosion
M_T001_2023_5,T001,2023-12-27,Corrective,10.71,2290.26,2023,Shutdown due to overtemperature
M_T002_2023_0,T002,2023-07-16,Preventive,3.12,337.22,2023,
M_T002_2023_1,T002,2023-01-12,Corrective,13.08,3553.67,2023,Overload in pitch motor
M_T002_2023_2,T002,2023-09-16,Corrective,13.51,4219.61,2023,Yaw system misalignment
M_T002_2023_3,T002,2023-07-15,Corrective,13.53,2459.61,2023,Blade leading edge erosion
M_T002_2023_4,T002,2023-05-05,Corrective,12.58,3202.03,2023,Shutdown due to overtemperature
M_T002_2023_5,T002,2023-07-11,Corrective,6.39,2742.25,2023,Main bearing vibration
M_T008_2023_0,T003,2023-05-19,Corrective,11.99,2708.58,2023,Shutdown due to overtemperature
M_T003_2023_1,T003,2023-10-27,Corrective,9.84,2801.41,2023,Shutdown due to overtemperature
M_T003_2023_2,T003,2023-05-16,Corrective,7.22,2415.84,2023,Blade leading edge erosion
M_T003_2023_3,T003,2023-10-20,Corrective,10.69,2344.26,2023,Shutdown due to overtemperature
M_T003_2023_4,T003,2023-05-22,Corrective,12.02,3681.2,2023,Main bearing vibration
M_T003_2023_5,T003,2023-07-21,Corrective,6.08,1876.92,2023,Overload in pitch motor
M_T004_2023_0,T004,2023-05-26,Corrective,8.57,2145.21,2023,Yaw system misalignment
M_T004_2023_1,T004,2023-12-02,Preventive,5.28,697.87,2023,
M_T004_2023_2,T004,2023-11-07,Preventive,3.89,487.94,2023,
M_T004_2023_3,T004,2023-10-27,Corrective,10.37,2089.07,2023,Main bearing vibration
M_T004_2023_4,T004,2023-07-01,Corrective,10.19,2928.31,2023,Overload in pitch motor
M_T004_2023_5,T004,2023-06-11,Corrective,8.84,1978.18,2023,Yaw system misalignment
M_T005_2023_0,T005,2023-02-16,Corrective,12.33,4167.35,2023,Blade leading edge erosion
M_T005_2023_1,T005,2023-02-15,Corrective,13.0,4235.78,2023,Shutdown due to overtemperature
M_T005_2023_2,T005,2023-01-24,Corrective,13.3,4306.28,2023,Main bearing vibration
M_T005_2023_3,T005,2023-01-27,Corrective,7.17,1921.12,2023,Overload in pitch motor
M_T005_2023_4,T005,2023-01-08,Corrective,9.57,3758.68,2023,Yaw system misalignment
M_T005_2023_5,T005,2023-05-04,Preventive,3.25,521.77,2023,
M_T001_2024_0,T001,2024-12-18,Corrective,7.83,3764.59,2024,Overload in pitch motor
M_T001_2024_1,T001,2024-05-25,Preventive,4.59,400.43,2024,
M_T001_2024_2,T001,2024-11-22,Preventive,5.42,471.99,2024,
M_T001_2024_3,T001,2024-02-17,Corrective,6.25,2630.28,2024,Shutdown due to overtemperature
M_T001_2024_4,T001,2024-10-19,Corrective,7.47,1940.05,2024,Main bearing vibration
M_T002_2024_0,T002,2024-09-21,Corrective,6.6,1944.31,2024,Overload in pitch motor
M_T002_2024_1,T002,2024-06-13,Preventive,5.19,598.06,2024,
M_T002_2024_2,T002,2024-05-06,Preventive,4.2,593.34,2024,
